ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2012-10-01,guadalmellato,cordoba,0.0,14.3,146.6,49.34,0.47,2.33,-16.57,33.66,32.07,44.96,
2012-10-01,guadanunno,cordoba,0.0,17.0,1.6,0.84,0.0,0.1,-0.12,52.63,46.25,60.0,
2012-10-01,iznajar,cordoba,0.0,14.8,981.1,529.56,1.06,8.83,-220.15,53.98,53.08,76.42,
2012-10-01,la brenna,cordoba,0.0,15.9,823.0,621.26,0.0,0.81,-110.51,75.49,75.39,88.91,
2012-10-01,martin gonzalo,cordoba,0.0,15.0,17.8,10.53,-0.02,-0.02,-4.19,59.16,59.27,82.7,
2012-10-01,puente nuevo,cordoba,0.0,15.1,281.7,154.9,-0.04,1.64,-10.94,54.99,54.41,58.87,
2012-10-01,retortillo,cordoba,0.0,16.7,61.2,33.37,0.0,0.65,-15.81,54.53,53.46,80.36,
2012-10-01,san rafael de navallana,cordoba,0.0,11.3,156.5,54.45,0.0,0.9,-36.56,34.79,34.22,58.15,
2012-10-01,sierra boyera,cordoba,0.0,17.2,40.9,22.23,0.0,0.36,-10.55,54.36,53.47,80.15,
2012-10-01,yeguas,cordoba,0.0,13.2,228.7,99.68,-0.03,0.52,-70.43,43.59,43.36,74.38,
2012-10-01,canales,granada,0.0,7.4,70.0,19.65,0.05,0.36,-29.19,28.07,27.56,69.77,
2012-10-01,colomera,granada,0.0,10.6,40.2,25.21,-0.02,-0.26,-6.78,62.71,63.36,79.58,
2012-10-01,cubillas,granada,0.0,8.1,18.7,6.62,0.03,0.61,-7.31,35.4,32.14,74.49,
2012-10-01,el portillo,granada,0.0,11.5,32.9,27.02,-0.01,-0.1,0.21,82.13,82.43,81.49,
2012-10-01,francisco abellan,granada,0.0,4.5,58.2,29.29,0.02,0.08,-6.47,50.32,50.19,61.44,
2012-10-01,los bermejales,granada,0.0,13.6,102.6,68.91,0.05,0.78,-10.18,67.16,66.4,77.09,
2012-10-01,negratin,granada,0.0,8.8,567.1,328.55,0.0,0.16,-24.99,57.94,57.91,62.34,
2012-10-01,quentar,granada,0.0,7.4,13.5,11.15,-0.1,-0.6,1.77,82.62,87.04,69.48,
2012-10-01,san clemente,granada,0.0,12.3,117.9,17.2,-0.04,-0.22,-13.34,14.59,14.78,25.9,
2012-10-01,aracena,huelva,0.0,21.1,126.8,74.36,-0.27,-2.67,-46.72,58.65,60.75,95.49,
2012-10-01,zufre,huelva,0.0,16.2,175.3,137.56,-0.08,0.24,-21.13,78.47,78.33,90.52,
2012-10-01,aguascebas,jaen,0.0,13.7,6.4,3.31,-0.02,-0.05,-0.29,51.66,52.5,56.25,
2012-10-01,dannador,jaen,0.0,14.0,4.1,1.27,0.0,0.02,-2.19,30.9,30.49,84.39,
2012-10-01,giribaile,jaen,0.0,11.8,475.1,159.95,0.34,2.71,-200.34,33.67,33.1,75.83,
2012-10-01,guadalen,jaen,0.0,11.9,168.0,72.08,0.0,0.68,-53.61,42.91,42.5,74.82,
2012-10-01,guadalmena,jaen,0.0,15.0,346.5,229.31,0.0,-0.63,-57.07,66.18,66.36,82.65,
2012-10-01,jandula,jaen,0.0,11.5,322.0,148.77,0.14,0.73,-97.97,46.2,45.98,76.63,
2012-10-01,la bolera,jaen,0.0,10.2,53.2,14.15,-0.1,-0.77,-11.19,26.6,28.05,47.63,
2012-10-01,la fernandina,jaen,0.0,12.8,244.5,131.02,-0.03,0.11,-56.28,53.59,53.54,76.61,
