ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2012-08-31,la bolera,jaen,151.4,640.7,53.2,17.94,-0.08,-0.68,-13.03,33.72,35.0,58.21,
2012-08-31,la fernandina,jaen,168.6,514.3,244.5,135.16,-0.66,-4.67,-54.54,55.28,57.19,77.59,
2012-08-31,quiebrajano,jaen,226.0,682.2,31.6,17.94,-0.03,-0.16,-7.83,56.79,57.28,81.55,
2012-08-31,rumblar,jaen,167.8,474.9,126.0,69.62,-0.34,-1.76,-34.21,55.26,56.65,82.4,
2012-08-31,tranco de beas,jaen,257.1,779.9,498.2,272.41,-1.06,-7.93,-117.71,54.68,56.27,78.31,
2012-08-31,vadomojon,jaen,118.9,464.1,163.2,74.76,-0.56,-4.0,-52.87,45.81,48.26,78.2,
2012-08-31,viboras,jaen,164.9,522.2,19.1,7.75,-0.01,-0.13,-2.76,40.56,41.26,55.03,
2012-08-31,cala,sevilla,224.8,684.6,58.8,17.95,-0.02,-0.09,-10.46,30.52,30.68,48.32,
2012-08-31,el agrio,sevilla,220.9,650.3,20.3,8.89,0.0,-0.04,-8.47,43.78,43.99,85.52,
2012-08-31,el pintado,sevilla,208.8,687.0,212.8,107.32,-0.17,-2.58,-57.7,50.43,51.64,77.55,
2012-08-31,gergal,sevilla,215.7,544.9,35.0,16.24,-0.03,-0.21,-13.15,46.41,47.0,83.97,
2012-08-31,huesna,sevilla,277.8,615.6,134.6,101.5,-0.11,-0.78,-22.5,75.41,75.99,92.12,
2012-08-31,jose toran,sevilla,245.7,663.8,113.2,55.97,-0.31,-1.07,-38.21,49.44,50.39,83.2,
2012-08-31,la minilla,sevilla,250.5,695.9,57.8,39.18,-0.05,-0.15,-10.1,67.79,68.04,85.26,
2012-08-31,melonares,sevilla,222.0,631.0,185.6,118.58,-0.22,-0.98,-39.91,63.89,64.42,85.39,
2012-08-31,puebla de cazalla,sevilla,210.3,517.9,73.7,32.9,-0.16,-0.48,-19.51,44.64,45.29,71.11,
2012-08-31,torre del aguila,sevilla,194.5,537.5,64.4,8.93,0.0,-0.51,-27.4,13.86,14.66,56.41,
2012-08-31,beninar,almeria,206.6,486.0,61.68,7.03,-0.02,-0.21,-9.92,11.4,11.74,27.48,
2012-08-31,cuevas de almanzora,almeria,141.4,253.9,161.3,9.82,-0.01,-0.05,-1.18,6.09,6.12,6.82,
2012-08-31,charco redondo,cadiz,463.4,1048.7,81.6,39.31,-0.13,-1.23,-21.79,48.18,49.68,74.88,
2012-08-31,guadarranque,cadiz,367.7,891.7,87.7,49.6,-0.07,-0.41,-32.62,56.56,57.02,93.75,
2012-08-31,beznar,granada,247.9,442.3,52.9,39.41,-0.1,-0.66,-6.58,74.51,75.75,86.94,
2012-08-31,rules,granada,286.3,487.7,110.8,76.16,-0.2,-1.35,-13.05,68.73,69.95,80.51,
2012-08-31,conde de guadalhorce,malaga,269.7,458.5,66.5,30.83,-0.04,-0.84,-18.49,46.36,47.62,74.17,
2012-08-31,el limonero,malaga,275.5,478.4,24.7,10.42,-0.02,-0.05,-2.93,42.2,42.39,54.05,
2012-08-31,casasola,malaga,289.9,464.8,23.45,12.15,-0.03,-0.06,-9.48,51.81,52.07,92.24,
2012-08-31,guadalteba,malaga,242.5,451.2,153.3,102.57,-0.34,-1.61,-40.15,66.91,67.96,93.1,
2012-08-31,guadalhorce,malaga,242.5,449.5,125.7,93.81,-0.15,-1.06,-22.79,74.63,75.47,92.76,
2012-08-31,la concepcion,malaga,477.4,754.3,61.9,28.07,-0.2,-1.43,-21.05,45.34,47.66,79.35,
2012-08-31,la vinnuela,malaga,351.9,598.8,165.4,121.84,-0.2,-1.27,-32.09,73.66,74.43,93.07,
2012-08-31,andevalo,huelva,273.5,675.0,634.4,451.61,-0.26,-1.69,-114.36,71.19,71.45,89.21,
2012-08-31,chanza,huelva,284.5,507.5,341.4,172.4,-0.93,-6.34,-74.24,50.5,52.36,72.24,
2012-08-31,corumbel bajo,huelva,407.2,631.7,18.0,7.34,-0.05,-0.35,-8.68,40.8,42.72,89.0,
2012-08-31,jarrama,huelva,507.5,787.2,42.6,28.99,-0.16,-0.79,-7.92,68.05,69.91,86.64,
2012-08-31,los machos,huelva,565.3,579.8,12.0,4.66,-0.05,-0.15,-0.93,38.87,40.08,46.58,
2012-08-31,piedras,huelva,565.3,567.5,59.5,26.85,-0.28,-0.04,-10.14,45.13,45.19,62.17,
2012-09-01,arcos,cadiz,483.3,597.1,14.6,13.44,-0.03,-0.31,-0.03,92.04,94.18,92.26,
2012-09-01,almodovar,cadiz,476.9,1152.8,5.7,2.02,-0.01,-0.06,-1.79,35.46,36.49,66.84,
2012-09-01,barbate,cadiz,378.5,1011.0,228.1,107.24,1.17,-0.68,-72.19,47.02,47.31,78.66,
2012-09-01,bornos,cadiz,447.9,591.0,200.2,75.76,-0.11,-2.22,-85.66,37.84,38.95,80.63,
2012-09-01,celemin,cadiz,368.2,962.9,44.8,19.36,-0.03,-0.21,-6.0,43.21,43.68,56.61,
2012-09-01,guadalcacin,cadiz,461.7,904.1,800.3,569.46,-0.55,-5.17,-80.32,71.16,71.8,81.19,
